90th file for whole dataset of cell 39, (c=0.01, npop=2048, D=39.8107)
91th file for whole dataset of cell 39, (c=0.01, npop=4, D=0.000631)
92th file for whole dataset of cell 39, (c=0.01, npop=1, D=0.000631)
93th file for whole dataset of cell 39, (c=0.01, npop=32, D=0.000631)
94th file for whole dataset of cell 39, (c=0.01, npop=512, D=0.000631)
95th file for whole dataset of cell 39, (c=0.01, npop=256, D=0.000631)
96th file for whole dataset of cell 39, (c=0.01, npop=16, D=0.000631)
97th file for whole dataset of cell 39, (c=0.01, npop=1024, D=0.000631)
98th file for whole dataset of cell 39, (c=0.01, npop=2048, D=0.000631)
99th file for whole dataset of cell 39, (c=0.01, npop=8, D=0.000631)
100th file for whole dataset of cell 39, (c=0.01, npop=4096, D=0.000631)
101th file for whole dataset of cell 39, (c=0.01, npop=2, D=0.000631)
102th file for whole dataset of cell 39, (c=0.01, npop=128, D=0.000631)
103th file for whole dataset of cell 39, (c=0.01, npop=64, D=0.000631)
104th file for whole dataset of cell 39, (c=0.01, npop=512, D=15.8489)
105th file for whole dataset of cell 39, (c=0.01, npop=8, D=15.8489)
106th file for whole dataset of cell 39, (c=0.01, npop=16, D=15.8489)
107th file for whole dataset of cell 39, (c=0.01, npop=128, D=15.8489)
108th file for whole dataset of cell 39, (c=0.01, npop=2048, D=15.8489)
109th file for whole dataset of cell 39, (c=0.01, npop=4096, D=15.8489)
110th file for whole dataset of cell 39, (c=0.01, npop=64, D=15.8489)
111th file for whole dataset of cell 39, (c=0.01, npop=256, D=15.8489)
112th file for whole dataset of cell 39, (c=0.01, npop=1, D=15.8489)
113th file for whole dataset of cell 39, (c=0.01, npop=1024, D=15.8489)
114th file for whole dataset of cell 39, (c=0.01, npop=4, D=15.8489)
115th file for whole dataset of cell 39, (c=0.01, npop=32, D=15.8489)
116th file for whole dataset of cell 39, (c=0.01, npop=2, D=15.8489)
117th file for whole dataset of cell 39, (c=0.01, npop=256, D=100)
118th file for whole dataset of cell 39, (c=0.01, npop=8, D=100)
119th file for whole dataset of cell 39, (c=0.01, npop=64, D=100)
120th file for whole dataset of cell 39, (c=0.01, npop=128, D=100)
121th file for whole dataset of cell 39, (c=0.01, npop=2, D=100)
122th file for whole dataset of cell 39, (c=0.01, npop=512, D=100)
123th file for whole dataset of cell 39, (c=0.01, npop=32, D=100)
124th file for whole dataset of cell 39, (c=0.01, npop=1024, D=100)
125th file for whole dataset of cell 39, (c=0.01, npop=1, D=100)
126th file for whole dataset of cell 39, (c=0.01, npop=2048, D=100)
127th file for whole dataset of cell 39, (c=0.01, npop=4096, D=100)
128th file for whole dataset of cell 39, (c=0.01, npop=16, D=100)
129th file for whole dataset of cell 39, (c=0.01, npop=4, D=100)
130th file for whole dataset of cell 39, (c=0.01, npop=512, D=1.6e-05)
131th file for whole dataset of cell 39, (c=0.01, npop=256, D=1.6e-05)
132th file for whole dataset of cell 39, (c=0.01, npop=1, D=1.6e-05)
133th file for whole dataset of cell 39, (c=0.01, npop=4, D=1.6e-05)
134th file for whole dataset of cell 39, (c=0.01, npop=8, D=1.6e-05)
135th file for whole dataset of cell 39, (c=0.01, npop=16, D=1.6e-05)
136th file for whole dataset of cell 39, (c=0.01, npop=128, D=1.6e-05)
137th file for whole dataset of cell 39, (c=0.01, npop=2048, D=1.6e-05)
138th file for whole dataset of cell 39, (c=0.01, npop=32, D=1.6e-05)
139th file for whole dataset of cell 39, (c=0.01, npop=64, D=1.6e-05)
140th file for whole dataset of cell 39, (c=0.01, npop=1024, D=1.6e-05)
141th file for whole dataset of cell 39, (c=0.01, npop=2, D=1.6e-05)
142th file for whole dataset of cell 39, (c=0.01, npop=4096, D=1.6e-05)
143th file for whole dataset of cell 39, (c=0.01, npop=512, D=2.51189)
144th file for whole dataset of cell 39, (c=0.01, npop=1, D=2.51189)
145th file for whole dataset of cell 39, (c=0.01, npop=32, D=2.51189)
146th file for whole dataset of cell 39, (c=0.01, npop=1024, D=2.51189)
147th file for whole dataset of cell 39, (c=0.01, npop=256, D=2.51189)
148th file for whole dataset of cell 39, (c=0.01, npop=128, D=2.51189)
149th file for whole dataset of cell 39, (c=0.01, npop=2048, D=2.51189)
150th file for whole dataset of cell 39, (c=0.01, npop=4096, D=2.51189)
151th file for whole dataset of cell 39, (c=0.01, npop=8, D=2.51189)
152th file for whole dataset of cell 39, (c=0.01, npop=2, D=2.51189)
153th file for whole dataset of cell 39, (c=0.01, npop=4, D=2.51189)
154th file for whole dataset of cell 39, (c=0.01, npop=64, D=2.51189)
155th file for whole dataset of cell 39, (c=0.01, npop=16, D=2.51189)
156th file for whole dataset of cell 39, (c=0.01, npop=16, D=0.01)
157th file for whole dataset of cell 39, (c=0.01, npop=1024, D=0.01)
158th file for whole dataset of cell 39, (c=0.01, npop=2, D=0.01)
